accession name	SRR	SAM	SRX	Systematic Name	Origin	Skin hairiness	Fruit shape	Fruit flesh color	Flesh adhesion	Flesh firmness	Flesh taste	Flower type	Flower Shape	Fruit SSC (%)		Fruit weight (g)		Leaves gland	Growth habit	Internode 	Fruit development	Plant growth	Chilling requirements
																				length (cm)	period (days)	 period (days)	 (hours)
07-1-11	SRR1994361	SAMN03566821	SRX1007902	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Round	White	Clingstone	Melting	Acid	Single	-	-	13	-	130	-	-	-	-	-	-
07-2-24	SRR1994362	SAMN03566822	SRX1007903	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	12	-	170	-	-	-	-	-	-
07-4-33	SRR1994370	SAMN03566830	SRX1007911	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
08-X-77	SRR1994363	SAMN03566823	SRX1007904	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
09-12 west-5	SRR1994360	SAMN03566820	SRX1007901	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Peach	Flat	White	Clingstone	Melting	Acid	Single	-	-	-	-	110	-	-	-	-	-	-
Bai Hua	SRR830520	SAMN02048735	SRX268330	P. persica (L.) Batsch.	Jiangsu, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	10,7	-	155,1	Reniform	Common	2,03	137	259	800
Bai Shu 55 Bian Yi	SRR830538	SAMN02048753	SRX268348	P. persica (L.) Batsch.	Henan, China	Nectarine	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	-	11	-	61	Reniform	Common	2,32	78	269	750
Bai Wu 8	SRR830537	SAMN02048752	SRX268347	P. persica (L.) Batsch.	Henan, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	11	-	80	Globose	Common	2,44	78	-	750
Bi Nan I	SRR830572	SAMN02048787	SRX268382	P. persica (L.) Batsch.	Xinjiang, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	-	-	70	Reniform	Common	2,32	-	270	800
Bian Tao	SRR830530	SAMN02048745	SRX268340	P. persica (L.) Batsch.	Shanxi, China	Peach	Flat	White	Freestone	Melting	Sub-acid	Single	Showy	-	14	-	89,7	Reniform	Common	2,01	143	257	800
Big Top	SRR1805745	SAMN03349784	SRX878686	P. persica (L.) Batsch.	breeding	Nectarine	Round	Yellow	Semi-Freestone	Melting	Sub-acid	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
Bolero	SRR501836	SAMN01000697	SRX150226	P. persica (L.) Batsch.	Cresthaven x Flamecrest	Peach	Round	Yellow	Freestone	Melting	Acid	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
Chong Ban Xiao Hua Xing	SRR830557	SAMN02048772	SRX268367	P. persica (L.) Batsch.	Henan, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Non-showy		13,7	-	197,4	Reniform	Common	-	111	-	750
Da Guo Hei Tao	SRR1994376	SAMN03566836	SRX1007917	P. persica (L.) Batsch.	Landrace, edible, Shandong, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	12	-	187	146	-	-	-	-	-	-
Da Hong Pao	SRR830539	SAMN02048754	SRX268349	P. persica (L.) Batsch.	Hubei, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy		12	-	108	Reniform	Common	2,76	99	254	750
Da Lian 4-35	SRR1994386	SAMN03566846	SRX1007927	P. persica (L.) Batsch.	Improved variety from crosses, Liaoning, China	Peach	Flat	Yellow	Freestone	Melting	Sub-acid	Single	Showy	11	-	100	128,9	-	-	-	-	-	-
Da Xue Tao	SRR830564	SAMN02048779	SRX268374	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	17,2	-	126,1	Reniform	Common	2,05	158	268	900
Dan Bei Ti	SRR1994357	SAMN03566817	SRX1007898	P. persica (L.) Batsch.	Improved variety from mutation, Henan, China	Nectarine	Round	Yellow	Clingstone	Melting	-	Single	Non-showy	-	-	-	-	-	-	-	-	-	-
Diao Zhi Bai	SRR830563	SAMN02048778	SRX268373	P. persica (L.) Batsch.	Anhui, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	12	-	129,6	Reniform	Common	2,52	106	256	950
Dr. Davis	SRR068360	SAMN00115266	SRX028130	P. persica (L.) Batsch.	(Da30-13 self) x G40-5E	Peach	Round	Yellow	Clingstone	Non-melting	-	-	Non-showy	-	-	-	-	Reniform	-	-	-	-	-
Early Gold	SRR502995	SAMN01000698	SRX150228	P. persica (L.) Batsch.	Nishiki x Fortuna	Peach	Round	Yellow	Clingstone	-	-	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
	SRR502996		SRX150229																				
Elberta	SRR1994378	SAMN03566838	SRX1007919	P. persica (L.) Batsch.	Improved variety from crosses, USA	Peach	Round	Yellow	Freestone	Melting	Acid	Single	Non-showy	10	8	198	142,5	-	-	-	-	-	-
F1 Contender x Ambra	SRR502997	SAMN01000699	SRX150230	P. persica (L.) Batsch.	breeding	-	Round	Yellow	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
F8, 1-42	SRR068361	SAMN00115267	SRX028131	P. persica (L.) Batsch.	USA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Fei Cheng Bai Li 10	SRR830506	SAMN02048721	SRX268316	P. persica (L.) Batsch.	Shandong, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	13,3	-	191	Reniform	Common	2,03	148	260	1100
Fei Cheng Hong Li 6	SRR830570	SAMN02048785	SRX268380	P. persica (L.) Batsch.	Shandong, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	13,3	-	221,35	Reniform	Common	1,89	141	256	1150
Ge Gu Tao	SRR830567	SAMN02048782	SRX268377	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Non-melting	Sub-acid	Single	Showy	-	12,1	-	118	Reniform	Common	2,17	93	237	1050
Gerogia Belle	SRR068359	SAMN00115268	SRX028129	P. persica (L.) Batsch.	USA	Peach	Round	White	Clingstone	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GF305	SRR502983	SAMN01000700	SRX150234	P. persica (L.) Batsch.	Seedling, France	Peach	Round	White	Freestone	Melting	-	-	Non-showy	-	-	-	-	Globose	-	-	-	-	-
Hakuho	SRR830522	SAMN02048737	SRX268332	P. persica (L.) Batsch.	Japan	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	12	-	127,95	Reniform	Common	2,19	106	243	900
Harrow Blood	SRR1994351	SAMN03566811	SRX1007892	P. persica (L.) Batsch.	variety from crosses, Canada	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	18	-	47	-	-	-	-	-	-
Hei Bu Dai	SRR830565	SAMN02048780	SRX268375	P. persica (L.) Batsch.	Anhui, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	14	-	123	Reniform	Common	2,74	105	261	800
Hong Chui Zhi	SRR830560	SAMN02048775	SRX268370	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Showy	-	11	-	28	Reniform	Willow	2,32	154	270	950
Hong Li Guang	SRR830575	SAMN02048790	SRX268385	P. persica (L.) Batsch.	Xinjiang, China	Nectarine	Round	White	Freestone	Melting	Acid	Single	Showy	-	14,7	-	90	Reniform	Common	2,11	165	270	750
Hong Shan Hu	SRR1994373	SAMN03566833	SRX1007914	P. persica (L.) Batsch.	Improved variety from crosses, Beijing, China	Nectarine	Round	White	Clingstone	Melting	Sub-acid	Single	Non-showy	13	-	148	151	-	-	-	-	-	-
Hong Shou Xing	SRR830558	SAMN02048773	SRX268368	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Freestone	Melting	Acid	Double	Showy	-	9	-	20	Reniform	Dwarf	0,65	146	273	900
Hong Ya Zui	SRR830566	SAMN02048781	SRX268376	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Non-melting	Sub-acid	Single	Showy	-	12,3	-	103,8	Reniform	Common	2,1	88	256	950
Hong Ye Tao Ya Bian	SRR1994387	SAMN03566847	SRX1007928	P. persica (L.) Batsch.	Improved variety from mutation, Henan, China	Peach	Round	White	-	Melting	Acid	Double	Showy	10	-	-	96	-	-	-	-	-	-
Hua Guang	SRR830553	SAMN02048768	SRX268363	P. persica (L.) Batsch.	Henan, China	Nectarine	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	13	-	78,4	Globose	Common	2,34	76	265	650
Hua Yu Lu	SRR830569	SAMN02048784	SRX268379	P. persica (L.) Batsch.	Zhejiang, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Double	Showy	-	14,5	-	115,8	Reniform	Common	2,12	130	238	850
Huang Jin Pan Tao	SRR1994390	SAMN03566850	SRX1007931	P. persica (L.) Batsch.	Landrace, edible, Shanghai, China	Peach	Flat	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	12,5	11,5	112	97,7	-	-	-	-	-	-
Hun Chun Tao	SRR830510	SAMN02048725	SRX268320	P. persica (L.) Batsch.	Jilin, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	13	-	94	Reniform	Common	2,4	146	252	700
Huo Lian Jin Dan	SRR830509	SAMN02048724	SRX268319	P. persica (L.) Batsch.	Yunnan, China	Peach	Round	Yellow	Clingstone	Melting	Acid	Single	Showy	-	10,7	-	131	Reniform	Common	1,88	149	275	600
IF7310828	SRR503000	SAMN01000701	SRX150236	P. persica (L.) Batsch.	semidwarf selection	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ji Lin 8903	SRR830541	SAMN02048756	SRX268351	P. persica (L.) Batsch.	Jilin, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	9,5	-	158	Reniform	Common	2,54	83	257	800
Jin Feng	SRR830578	SAMN02048793	SRX268388	P. persica (L.) Batsch.	Henan, China	Peach	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	-	10	-	130	Reniform	Common	2,56	109	261	750
Jin Mi Xia Ye Tao	SRR830498	SAMN02048713	SRX268308	P. persica (L.) Batsch.	Henan, China	Nectarine	Round	Yellow	Clingstone	Non-melting	Sub-acid	Single	Non-showy	-	12	-	153	Globose	Common	2,26	103	267	750
Jin Ta You Pan Tao	SRR830531	SAMN02048746	SRX268341	P. persica (L.) Batsch.	Gansu, China	Nectarine	Flat	White	Clingstone	Non-melting	Acid	Single	Showy	-	16,5	-	36,8	Reniform	Common	2,4	157	250	800
Jing Yu	SRR830547	SAMN02048762	SRX268357	P. persica (L.) Batsch.	Beijing, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	12,8	-	145,75	Reniform	Common	2,42	136	250	800
Ju Hua Tao	SRR830554	SAMN02048769	SRX268364	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Chrysanthemum	-	10	-	50	Reniform	Common	2,47	170	268	1200
Ka Shi Huang Rou Li Guang	SRR830496	SAMN02048711	SRX268306	P. persica (L.) Batsch.	Xinjiang, China	Nectarine	Round	Yellow	Freestone	Melting	Acid	Single	Showy	-	12,2	-	85,5	Reniform	Common	2,11	116	270	900
Li He Tian Ren	SRR1994352	SAMN03566812	SRX1007893	P. persica (L.) Batsch.	Xinjiang, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11,5	-	111	Reniform	Common	2,7	168	272	750
Li-07-1-13	SRR830579	SAMN02048794	SRX268389	P. persica (L.) Batsch.	NA	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	10	-	90	Reniform	Common	2,5	71	-	750
Long 1-2-4	SRR830535	SAMN02048750	SRX268345	P. persica (L.) Batsch.	Gansu, China	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Showy	-	11,7	-	138	Reniform	Common	2,52	138	269	700
Lovell	SRR502985	SAMN01000702	SRX150254	P. persica (L.) Batsch.	chance seedling	Peach	Round	Yellow	Freestone	Melting	Acid	-	Non-showy	-	-	-	-	Globose	-	-	-	-	-
Mai Huang Pan Tao	SRR1994385	SAMN03566845	SRX1007926	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Peach	Flat	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	-	11	89,6	70	-	-	-	-	-	-
Mao Tao	SRR1994366	SAMN03566826	SRX1007907	P. persica (L.) Batsch.	Improved variety from mutation, Henan, China	Peach	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Showy	11	-	78	-	-	-	-	-	-	-
Maravilha	SRR3237760	SAMN04492168	SRX1641976	P. persica (L.) Batsch.	Sunred x (Okinawa x Hiland) op.	Peach	Round	White	Semi-Freestone	Melting	Acid	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
Maria Serena	SRR1994377	SAMN03566837	SRX1007918	P. persica (L.) Batsch.	Improved variety from crosses, Italy	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Showy	7,6	7	130	113,7	-	-	-	-	-	-
May Fire	SRR830548	SAMN02048763	SRX268358	P. persica (L.) Batsch.	USA	Nectarine	Round	Yellow	Clingstone	Melting	Acid	Single	Showy	-	8,7	-	71,9	Globose	Common	1,82	65	257	550
Mei Gui Hong	SRR830546	SAMN02048761	SRX268356	P. persica (L.) Batsch.	Henan, China	Nectarine	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	11	-	123	Globose	Common	2,39	99	260	650
Nan Shan Tian Tao	SRR830508	SAMN02048723	SRX268318	P. persica (L.) Batsch.	Guangdong, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	12,2	-	105	Reniform	Common	2,13	146	274	200
NJC77	SRR1994367	SAMN03566827	SRX1007908	P. persica (L.) Batsch.	Improved variety from crosses, USA	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Non-showy	12,6	10	157,3	112,3	-	-	-	-	-	-
NJN76	SRR830577	SAMN02048792	SRX268387	P. persica (L.) Batsch.	USA	Nectarine	Round	Yellow	Clingstone	Non-melting	Acid	Single	Non-showy	-	12,7	-	109,4	Reniform	Common	2,17	94	267	800
Okitsu	SRR830521	SAMN02048736	SRX268331	P. persica (L.) Batsch.	Japan	Nectarine	Round	Yellow	Freestone	Melting	Acid	Single	Showy	-	13,5	-	113,7	Reniform	Common	2,34	121	252	850
Okubo	SRR830524	SAMN02048739	SRX268334	P. persica (L.) Batsch.	Japan	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	11,8	-	159	Reniform	Common	2,09	112	261	900
Oro A	SRR502986	SAMN01000703	SRX150239	P. persica (L.) Batsch.	Diamante op.	Peach	Round	Yellow	Semi-Freestone	Melting	Acid	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
Phillips	SRR1994380	SAMN03566840	SRX1007921	P. persica (L.) Batsch.	Improved variety from crosses, USA	Peach	Round	Yellow	Clingstone	Non-melting	-	Single	Non-showy	12,9	12,5	135	116,5	-	-	-	-	-	-
Ping Bei Zi	SRR830568	SAMN02048783	SRX268378	P. persica (L.) Batsch.	Jiangsu, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	12,5	-	91,1	Reniform	Common	2,6	88	258	800
Ping Ding You Pan Tao	SRR1994384	SAMN03566844	SRX1007925	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Flat	Yellow	Freestone	Melting	-	Single	Showy	10	-	82	78,9	-	-	-	-	-	-
Qing Si Tao	SRR830573	SAMN02048788	SRX268383	P. persica (L.) Batsch.	Yunnan, China	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Showy	-	12	-	125,65	Reniform	Common	2,08	152	275	700
Qing Tao	SRR830536	SAMN02048751	SRX268346	P. persica (L.) Batsch.	Guizhou, China	Peach	Round	White	Freestone	Melting	Sub-acid	Single	Showy	-	11,9	-	160	Reniform	Common	0,9	127	257	650
